[2019-08-24 11:34:51,134 | INFO] Receiver thread now running
[2019-08-24 11:37:58,741 | INFO] ae
[2019-08-24 11:37:59,457 | INFO] 77
[2019-08-24 11:37:59,469 | INFO] d1
[2019-08-24 11:38:00,187 | INFO] 08
[2019-08-24 11:38:00,199 | INFO] ae
[2019-08-24 11:38:00,908 | INFO] 77
[2019-08-24 11:38:00,924 | INFO] d1
[2019-08-24 11:38:01,632 | INFO] 08
[2019-08-24 11:38:01,645 | INFO] ae
[2019-08-24 11:38:02,362 | INFO] 77
[2019-08-24 11:38:02,369 | INFO] d1
[2019-08-24 11:38:03,082 | INFO] 08
[2019-08-24 11:38:03,100 | INFO] ae
[2019-08-24 11:38:03,815 | INFO] 77
[2019-08-24 11:38:03,832 | INFO] d1
[2019-08-24 11:38:04,534 | INFO] 08
[2019-08-24 11:38:04,546 | INFO] ae
[2019-08-24 11:38:05,257 | INFO] 77
[2019-08-24 11:38:05,270 | INFO] d1
[2019-08-24 11:38:05,985 | INFO] 08
[2019-08-24 11:38:05,998 | INFO] ae
[2019-08-24 11:38:06,715 | INFO] 77
[2019-08-24 11:38:06,727 | INFO] d1
[2019-08-24 11:38:07,439 | INFO] 08
[2019-08-24 11:38:07,452 | INFO] ae
[2019-08-24 11:38:08,161 | INFO] 77
[2019-08-24 11:38:08,174 | INFO] d1
[2019-08-24 11:38:08,889 | INFO] 08
[2019-08-24 11:38:08,913 | INFO] ae
[2019-08-24 11:38:09,614 | INFO] 77
[2019-08-24 11:38:09,632 | INFO] d1
[2019-08-24 11:38:10,338 | INFO] 08
[2019-08-24 11:38:10,350 | INFO] ae
[2019-08-24 11:38:11,064 | INFO] 77
[2019-08-24 11:38:11,071 | INFO] d1
[2019-08-24 11:38:11,791 | INFO] 08
[2019-08-24 11:38:11,803 | INFO] ae
[2019-08-24 11:38:12,519 | INFO] 77
[2019-08-24 11:38:12,530 | INFO] d1
[2019-08-24 11:38:13,239 | INFO] 08
[2019-08-24 11:38:13,257 | INFO] ae
[2019-08-24 11:38:13,965 | INFO] 77
[2019-08-24 11:38:13,976 | INFO] d1
[2019-08-24 11:38:14,696 | INFO] 08
[2019-08-24 11:38:14,711 | INFO] ae
[2019-08-24 11:38:15,417 | INFO] 77
[2019-08-24 11:38:15,430 | INFO] d1
[2019-08-24 11:38:16,140 | INFO] 08
[2019-08-24 11:38:16,153 | INFO] ae
[2019-08-24 11:38:16,869 | INFO] 77
[2019-08-24 11:38:16,880 | INFO] d1
[2019-08-24 11:38:17,608 | INFO] 08
[2019-08-24 11:38:17,614 | INFO] ae
[2019-08-24 11:38:18,321 | INFO] 77
[2019-08-24 11:38:18,338 | INFO] d1
[2019-08-24 11:38:19,041 | INFO] 08
[2019-08-24 11:38:19,053 | INFO] ae
[2019-08-24 11:38:19,770 | INFO] 77
[2019-08-24 11:38:19,782 | INFO] d1
[2019-08-24 11:38:20,492 | INFO] 08
[2019-08-24 11:38:20,504 | INFO] ae
[2019-08-24 11:38:21,216 | INFO] 77
[2019-08-24 11:38:21,232 | INFO] d1
[2019-08-24 11:38:21,943 | INFO] 08
[2019-08-24 11:38:21,955 | INFO] ae
[2019-08-24 11:38:22,675 | INFO] 77
[2019-08-24 11:38:22,693 | INFO] d1
[2019-08-24 11:38:23,395 | INFO] 08
[2019-08-24 11:38:23,407 | INFO] ae
[2019-08-24 11:38:24,121 | INFO] 77
[2019-08-24 11:38:24,139 | INFO] d1
[2019-08-24 11:38:24,844 | INFO] 08
[2019-08-24 11:38:24,855 | INFO] ae
[2019-08-24 11:38:25,571 | INFO] 77
[2019-08-24 11:38:25,582 | INFO] d1
[2019-08-24 11:38:26,298 | INFO] 08
[2019-08-24 11:38:26,318 | INFO] ae
[2019-08-24 11:38:27,025 | INFO] 77
[2019-08-24 11:38:27,043 | INFO] d1
[2019-08-24 11:38:27,750 | INFO] 08
[2019-08-24 11:38:27,761 | INFO] ae
[2019-08-24 11:38:28,478 | INFO] 77
[2019-08-24 11:38:28,483 | INFO] d1
[2019-08-24 11:38:29,197 | INFO] 08
[2019-08-24 11:38:29,211 | INFO] ae
[2019-08-24 11:38:29,923 | INFO] 77
[2019-08-24 11:38:29,946 | INFO] d1
[2019-08-24 11:38:30,650 | INFO] 08
[2019-08-24 11:38:30,662 | INFO] ae
[2019-08-24 11:38:31,391 | INFO] 77
[2019-08-24 11:38:31,410 | INFO] d1
[2019-08-24 11:38:32,102 | INFO] 08
[2019-08-24 11:38:32,114 | INFO] ae
[2019-08-24 11:38:32,827 | INFO] 77
[2019-08-24 11:38:32,839 | INFO] d1
[2019-08-24 11:38:33,553 | INFO] 08
[2019-08-24 11:38:33,566 | INFO] ae
[2019-08-24 11:38:34,279 | INFO] 77
[2019-08-24 11:38:34,296 | INFO] d1
[2019-08-24 11:38:34,999 | INFO] 08
[2019-08-24 11:38:35,012 | INFO] ae
[2019-08-24 11:38:35,729 | INFO] 77
[2019-08-24 11:38:35,741 | INFO] d1
[2019-08-24 11:38:36,465 | INFO] 08
[2019-08-24 11:38:36,482 | INFO] ae
[2019-08-24 11:38:37,178 | INFO] 77
[2019-08-24 11:38:37,193 | INFO] d1
[2019-08-24 11:38:37,904 | INFO] 08
[2019-08-24 11:38:37,922 | INFO] ae
[2019-08-24 11:38:38,629 | INFO] 77
