[2019-09-02 00:02:12,335 | INFO] 09
[2019-09-02 00:02:12,346 | INFO] af
[2019-09-02 00:02:13,060 | INFO] 77
[2019-09-02 00:02:13,072 | INFO] d1
[2019-09-02 00:02:13,786 | INFO] 08
[2019-09-02 00:02:13,797 | INFO] ae
[2019-09-02 00:02:14,511 | INFO] 77
[2019-09-02 00:02:14,522 | INFO] d1
[2019-09-02 00:02:15,236 | INFO] 09
[2019-09-02 00:02:15,248 | INFO] af
[2019-09-02 00:02:15,962 | INFO] 77
[2019-09-02 00:02:15,974 | INFO] d1
[2019-09-02 00:02:16,687 | INFO] 08
[2019-09-02 00:02:16,698 | INFO] ae
[2019-09-02 00:02:17,413 | INFO] 77
[2019-09-02 00:02:17,425 | INFO] d1
[2019-09-02 00:02:18,137 | INFO] 09
[2019-09-02 00:02:18,149 | INFO] af
[2019-09-02 00:02:18,864 | INFO] 77
[2019-09-02 00:02:18,875 | INFO] d1
[2019-09-02 00:02:19,589 | INFO] 08
[2019-09-02 00:02:19,601 | INFO] ae
[2019-09-02 00:02:20,314 | INFO] 77
[2019-09-02 00:02:20,326 | INFO] d1
[2019-09-02 00:02:21,040 | INFO] 09
[2019-09-02 00:02:21,051 | INFO] af
[2019-09-02 00:02:21,765 | INFO] 77
[2019-09-02 00:02:21,777 | INFO] d1
[2019-09-02 00:02:22,491 | INFO] 08
[2019-09-02 00:02:22,502 | INFO] ae
[2019-09-02 00:02:23,217 | INFO] 77
[2019-09-02 00:02:23,228 | INFO] d1
[2019-09-02 00:02:23,941 | INFO] 09
[2019-09-02 00:02:23,953 | INFO] af
[2019-09-02 00:02:24,667 | INFO] 77
[2019-09-02 00:02:24,679 | INFO] d1
[2019-09-02 00:02:25,392 | INFO] 08
[2019-09-02 00:02:25,404 | INFO] ae
[2019-09-02 00:02:26,118 | INFO] 77
[2019-09-02 00:02:26,130 | INFO] d1
[2019-09-02 00:02:26,843 | INFO] 09
[2019-09-02 00:02:26,854 | INFO] af
[2019-09-02 00:02:27,569 | INFO] 77
[2019-09-02 00:02:27,580 | INFO] d1
[2019-09-02 00:02:28,294 | INFO] 08
[2019-09-02 00:02:28,306 | INFO] ae
[2019-09-02 00:02:29,020 | INFO] 77
[2019-09-02 00:02:29,031 | INFO] d1
[2019-09-02 00:02:29,745 | INFO] 09
[2019-09-02 00:02:29,757 | INFO] af
[2019-09-02 00:02:30,470 | INFO] 77
[2019-09-02 00:02:30,482 | INFO] d1
[2019-09-02 00:02:31,196 | INFO] 08
[2019-09-02 00:02:31,207 | INFO] ae
[2019-09-02 00:02:31,922 | INFO] 77
[2019-09-02 00:02:31,934 | INFO] d1
[2019-09-02 00:02:32,647 | INFO] 09
[2019-09-02 00:02:32,658 | INFO] af
[2019-09-02 00:02:33,373 | INFO] 77
[2019-09-02 00:02:33,384 | INFO] d1
[2019-09-02 00:02:34,097 | INFO] 08
[2019-09-02 00:02:34,109 | INFO] ae
[2019-09-02 00:02:34,823 | INFO] 77
[2019-09-02 00:02:34,835 | INFO] d1
[2019-09-02 00:02:35,549 | INFO] 09
[2019-09-02 00:02:35,560 | INFO] af
[2019-09-02 00:02:36,274 | INFO] 77
[2019-09-02 00:02:36,286 | INFO] d1
[2019-09-02 00:02:37,000 | INFO] 08
[2019-09-02 00:02:37,011 | INFO] ae
[2019-09-02 00:02:37,725 | INFO] 77
[2019-09-02 00:02:37,736 | INFO] d1
[2019-09-02 00:02:38,450 | INFO] 09
[2019-09-02 00:02:38,462 | INFO] af
[2019-09-02 00:02:39,176 | INFO] 77
[2019-09-02 00:02:39,188 | INFO] d1
[2019-09-02 00:02:39,901 | INFO] 08
[2019-09-02 00:02:39,912 | INFO] ae
[2019-09-02 00:02:40,627 | INFO] 77
[2019-09-02 00:02:40,639 | INFO] d1
[2019-09-02 00:02:41,351 | INFO] 09
[2019-09-02 00:02:41,363 | INFO] af
[2019-09-02 00:02:42,078 | INFO] 77
[2019-09-02 00:02:42,089 | INFO] d1
[2019-09-02 00:02:42,802 | INFO] 08
[2019-09-02 00:02:42,814 | INFO] ae
[2019-09-02 00:02:43,528 | INFO] 77
[2019-09-02 00:02:43,540 | INFO] d1
[2019-09-02 00:02:44,254 | INFO] 09
[2019-09-02 00:02:44,266 | INFO] af
[2019-09-02 00:02:44,979 | INFO] 77
[2019-09-02 00:02:44,991 | INFO] d1
[2019-09-02 00:02:45,705 | INFO] 08
[2019-09-02 00:02:45,716 | INFO] ae
[2019-09-02 00:02:46,430 | INFO] 77
[2019-09-02 00:02:46,441 | INFO] d1
[2019-09-02 00:02:47,155 | INFO] 09
[2019-09-02 00:02:47,167 | INFO] af
[2019-09-02 00:02:47,881 | INFO] 77
[2019-09-02 00:02:47,893 | INFO] d1
[2019-09-02 00:02:48,606 | INFO] 08
[2019-09-02 00:02:48,618 | INFO] ae
[2019-09-02 00:02:49,332 | INFO] 77
[2019-09-02 00:02:49,344 | INFO] d1
[2019-09-02 00:02:50,057 | INFO] 09
[2019-09-02 00:02:50,068 | INFO] af
[2019-09-02 00:02:50,783 | INFO] 77
[2019-09-02 00:02:50,794 | INFO] d1
[2019-09-02 00:02:51,509 | INFO] 08
[2019-09-02 00:02:51,520 | INFO] ae
[2019-09-02 00:02:52,234 | INFO] 77
[2019-09-02 00:02:52,245 | INFO] d1
[2019-09-02 00:02:52,959 | INFO] 09
[2019-09-02 00:02:52,971 | INFO] af
[2019-09-02 00:02:53,684 | INFO] 77
[2019-09-02 00:02:53,696 | INFO] d1
[2019-09-02 00:02:54,410 | INFO] 08
[2019-09-02 00:02:54,421 | INFO] ae
[2019-09-02 00:02:55,135 | INFO] 77
[2019-09-02 00:02:55,146 | INFO] d1
[2019-09-02 00:02:55,860 | INFO] 09
[2019-09-02 00:02:55,872 | INFO] af
[2019-09-02 00:02:56,587 | INFO] 77
[2019-09-02 00:02:56,599 | INFO] d1
[2019-09-02 00:02:57,311 | INFO] 08
[2019-09-02 00:02:57,323 | INFO] ae
[2019-09-02 00:02:58,037 | INFO] 77
[2019-09-02 00:02:58,049 | INFO] d1
[2019-09-02 00:02:58,762 | INFO] 09
[2019-09-02 00:02:58,773 | INFO] af
[2019-09-02 00:02:59,489 | INFO] 77
[2019-09-02 00:02:59,500 | INFO] d1
[2019-09-02 00:03:00,213 | INFO] 08
[2019-09-02 00:03:00,225 | INFO] ae
[2019-09-02 00:03:00,939 | INFO] 77
[2019-09-02 00:03:00,950 | INFO] d1
[2019-09-02 00:03:01,664 | INFO] 09
[2019-09-02 00:03:01,676 | INFO] af
[2019-09-02 00:03:02,389 | INFO] 77
[2019-09-02 00:03:02,401 | INFO] d1
[2019-09-02 00:03:03,115 | INFO] 08
[2019-09-02 00:03:03,126 | INFO] ae
[2019-09-02 00:03:03,841 | INFO] 77
[2019-09-02 00:03:03,853 | INFO] d1
[2019-09-02 00:03:04,565 | INFO] 09
[2019-09-02 00:03:04,577 | INFO] af
[2019-09-02 00:03:05,292 | INFO] 77
[2019-09-02 00:03:05,303 | INFO] d1
[2019-09-02 00:03:06,016 | INFO] 08
[2019-09-02 00:03:06,028 | INFO] ae
[2019-09-02 00:03:06,742 | INFO] 77
[2019-09-02 00:03:06,754 | INFO] d1
[2019-09-02 00:03:07,467 | INFO] 09
[2019-09-02 00:03:07,478 | INFO] af
[2019-09-02 00:03:08,193 | INFO] 77
[2019-09-02 00:03:08,205 | INFO] d1
[2019-09-02 00:03:08,918 | INFO] 08
[2019-09-02 00:03:08,930 | INFO] ae
[2019-09-02 00:03:09,644 | INFO] 77
[2019-09-02 00:03:09,655 | INFO] d1
[2019-09-02 00:03:10,369 | INFO] 09
[2019-09-02 00:03:10,381 | INFO] af
[2019-09-02 00:03:11,094 | INFO] 77
[2019-09-02 00:03:11,106 | INFO] d1
[2019-09-02 00:03:11,820 | INFO] 08
[2019-09-02 00:03:11,832 | INFO] ae
[2019-09-02 00:03:12,546 | INFO] 77
[2019-09-02 00:03:12,558 | INFO] d1
[2019-09-02 00:03:13,270 | INFO] 09
[2019-09-02 00:03:13,282 | INFO] af
[2019-09-02 00:03:13,997 | INFO] 77
[2019-09-02 00:03:14,008 | INFO] d1
[2019-09-02 00:03:14,721 | INFO] 08
[2019-09-02 00:03:14,733 | INFO] ae
[2019-09-02 00:03:15,447 | INFO] 77
[2019-09-02 00:03:15,459 | INFO] d1
[2019-09-02 00:03:16,173 | INFO] 09
[2019-09-02 00:03:16,185 | INFO] af
[2019-09-02 00:03:16,898 | INFO] 77
[2019-09-02 00:03:16,910 | INFO] d1
[2019-09-02 00:03:17,624 | INFO] 08
[2019-09-02 00:03:17,635 | INFO] ae
[2019-09-02 00:03:18,349 | INFO] 77
[2019-09-02 00:03:18,361 | INFO] d1
[2019-09-02 00:03:19,074 | INFO] 09
[2019-09-02 00:03:19,086 | INFO] af
[2019-09-02 00:03:19,800 | INFO] 77
[2019-09-02 00:03:19,811 | INFO] d1
[2019-09-02 00:03:20,525 | INFO] 08
[2019-09-02 00:03:20,537 | INFO] ae
[2019-09-02 00:03:21,252 | INFO] 77
[2019-09-02 00:03:21,263 | INFO] d1
[2019-09-02 00:03:21,976 | INFO] 09
[2019-09-02 00:03:21,987 | INFO] af
[2019-09-02 00:03:22,702 | INFO] 77
[2019-09-02 00:03:22,713 | INFO] d1
[2019-09-02 00:03:23,426 | INFO] 08
[2019-09-02 00:03:23,438 | INFO] ae
[2019-09-02 00:03:24,153 | INFO] 77
[2019-09-02 00:03:24,165 | INFO] d1
[2019-09-02 00:03:24,878 | INFO] 09
[2019-09-02 00:03:24,890 | INFO] af
[2019-09-02 00:03:25,603 | INFO] 77
[2019-09-02 00:03:25,615 | INFO] d1
[2019-09-02 00:03:26,329 | INFO] 08
[2019-09-02 00:03:26,340 | INFO] ae
[2019-09-02 00:03:27,054 | INFO] 77
[2019-09-02 00:03:27,066 | INFO] d1
[2019-09-02 00:03:27,779 | INFO] 09
[2019-09-02 00:03:27,791 | INFO] af
[2019-09-02 00:03:28,506 | INFO] 77
[2019-09-02 00:03:28,517 | INFO] d1
[2019-09-02 00:03:29,230 | INFO] 08
[2019-09-02 00:03:29,242 | INFO] ae
[2019-09-02 00:03:29,956 | INFO] 77
[2019-09-02 00:03:29,968 | INFO] d1
[2019-09-02 00:03:30,681 | INFO] 09
[2019-09-02 00:03:30,692 | INFO] af
[2019-09-02 00:03:31,407 | INFO] 77
[2019-09-02 00:03:31,419 | INFO] d1
[2019-09-02 00:03:32,133 | INFO] 08
[2019-09-02 00:03:32,143 | INFO] ae
